,Home,Away
0,0,27
1,1,30
2,2,24
3,3,26
4,4,28
5,5,29
6,6,31
7,7,25
8,8,16
9,9,17
10,10,18
11,11,19
12,12,21
13,13,20
14,14,23
15,15,22
16,16,10
17,17,11
18,18,8
19,19,9
20,20,12
21,21,13
22,22,14
23,23,15
24,24,3
25,25,6
26,26,2
27,27,4
28,28,0
29,29,1
30,30,5
31,31,7
32,16,18
33,17,19
34,8,10
35,9,11
36,13,12
37,20,21
38,15,14
39,22,23
40,0,4
41,25,31
42,3,2
43,26,24
44,27,28
45,5,1
46,29,30
47,7,6
48,2,3
49,24,26
50,4,0
51,28,27
52,1,5
53,30,29
54,6,7
55,31,25
56,19,17
57,12,13
58,10,8
59,18,16
60,11,9
61,21,20
62,14,15
63,23,22
64,16,8
65,17,9
66,18,10
67,19,11
68,21,12
69,20,13
70,23,14
71,22,15
72,24,2
73,25,7
74,26,3
75,28,4
76,27,0
77,30,1
78,29,5
79,31,6
80,4,27
81,0,28
82,2,26
83,3,24
84,1,29
85,5,30
86,7,31
87,6,25
88,14,22
89,15,23
90,10,16
91,8,18
92,11,17
93,9,19
94,12,20
95,13,21
96,5,6
97,7,23
98,20,30
99,26,28
100,18,3
101,4,10
102,22,9
103,19,13
104,30,20
105,28,26
106,23,7
107,6,5
108,13,19
109,9,22
110,3,18
111,10,4
112,9,23
113,13,28
114,10,6
115,20,3
116,3,20
117,6,10
118,28,13
119,23,9
120,9,3
121,6,13
122,13,6
123,3,9
124,13,3
125,32,31
126,26,8
127,33,22
128,1,41
129,5,10
130,34,42
131,35,30
132,3,0
133,36,28
134,37,17
135,27,6
136,13,7
137,18,20
138,23,40
139,38,14
140,39,9
141,14,36
142,17,39
143,6,13
144,7,27
145,20,23
146,40,18
147,28,38
148,9,37
149,22,32
150,0,35
151,10,1
152,41,5
153,31,33
154,42,26
155,8,34
156,30,3
157,27,13
158,36,38
159,6,7
160,20,40
161,18,23
162,14,28
163,39,37
164,17,9
165,5,1
166,8,42
167,41,10
168,32,33
169,31,22
170,34,26
171,3,35
172,0,30
173,42,8
174,35,3
175,1,5
176,10,41
177,33,32
178,22,31
179,26,34
180,30,0
181,40,20
182,9,17
183,13,27
184,7,6
185,23,18
186,38,36
187,28,14
188,37,39
189,1,10
190,33,31
191,5,41
192,32,22
193,34,8
194,26,42
195,35,0
196,3,30
197,36,14
198,39,17
199,27,7
200,13,6
201,18,40
202,23,20
203,38,28
204,37,9
205,6,27
206,7,13
207,40,23
208,20,18
209,28,36
210,14,38
211,9,39
212,17,37
213,30,35
214,0,3
215,41,1
216,10,5
217,31,32
218,8,26
219,42,34
220,22,33
221,6,9
222,38,13
223,39,23
224,8,10
225,33,30
226,3,34
227,18,31
228,41,14
229,10,8
230,23,39
231,13,38
232,9,6
233,14,41
234,31,18
235,34,3
236,30,33
237,13,18
238,41,23
239,3,9
240,33,10
241,10,33
242,9,3
243,23,41
244,18,13
245,13,9
246,23,33
247,33,23
248,9,13
249,23,9
250,43,3
251,28,51
252,8,40
253,44,9
254,7,17
255,26,13
256,6,30
257,41,52
258,14,50
259,45,38
260,46,23
261,18,20
262,27,49
263,5,48
264,39,10
265,47,21
266,48,39
267,38,47
268,23,14
269,20,27
270,49,18
271,10,5
272,21,45
273,40,43
274,17,44
275,50,46
276,3,8
277,9,7
278,13,28
279,51,26
280,30,41
281,52,6
282,10,48
283,21,38
284,23,50
285,14,46
286,20,49
287,27,18
288,39,5
289,45,47
290,8,43
291,7,44
292,3,40
293,9,17
294,13,51
295,26,28
296,30,52
297,41,6
298,51,13
299,52,30
300,43,8
301,40,3
302,17,9
303,44,7
304,28,26
305,6,41
306,46,14
307,18,27
308,50,23
309,49,20
310,5,39
311,48,10
312,47,45
313,38,21
314,8,3
315,26,51
316,43,40
317,44,17
318,7,9
319,28,13
320,6,52
321,41,30
322,27,20
323,39,48
324,46,50
325,14,23
326,18,49
327,5,10
328,47,38
329,45,21
330,20,18
331,49,27
332,23,46
333,50,14
334,10,39
335,48,5
336,38,45
337,21,47
338,9,44
339,17,7
340,3,43
341,40,8
342,13,26
343,51,28
344,30,6
345,52,41
